,name,city,ind_num,ind_str,yyyymmdd,lat,long,city_count,city_ind_count
199,CICC,"Beijing, Beijing, China",2,Financial Services,1995/07/31,39.9020668,116.718583,15,1
207,Starling Bank,"London, England, United Kingdom",2,Financial Services,2014/01/01,51.5073219,-0.1276474,48,21
217,Monzo,"London, England, United Kingdom",2,Financial Services,2015/02/01,51.5073219,-0.1276474,48,21
227,Wirecard,"Munich, Bayern, Germany",2,Financial Services,1999/05/06,48.1371079,11.5753822,4,1
228,Adyen,"Amsterdam, Noord-Holland, The Netherlands",2,Financial Services,2006/01/01,52.3727598,4.8936041,6,3
238,Wirex,"London, England, United Kingdom",2,Financial Services,2014/12/01,51.5073219,-0.1276474,48,21
243,ICICI Bank,"Mumbai, Maharashtra, India",2,Financial Services,1994/01/01,18.9387711,72.8353355,13,2
250,PayMongo,"Taguig, Rizal, Philippines",2,Financial Services,2019/03/01,14.5266254,121.074403,1,1
251,Arcus,"New York, New York, United States",2,Financial Services,2013/05/01,40.7127281,-74.0060152,112,22
253,TransUnion,"Chicago, Illinois, United States",2,Financial Services,1968/01/01,41.8755616,-87.6244212,16,3
265,IP Group Plc,"London, England, United Kingdom",2,Financial Services,2001/01/01,51.5073219,-0.1276474,48,21
272,N26,"Berlin, Berlin, Germany",2,Financial Services,2013/02/01,52.5170365,13.3888599,14,3
274,Macquarie Group,"Sydney, New South Wales, Australia",2,Financial Services,1969/01/01,-33.8548157,151.2164539,4,1
284,PhonePe,"New Delhi, Delhi, India",2,Financial Services,2015/12/01,28.6138954,77.2090057,5,2
288,Wealthsimple,"Toronto, Ontario, Canada",2,Financial Services,2014/01/01,43.6534817,-79.3839347,9,5
290,CircleUp,"San Francisco, California, United States",2,Financial Services,2012/01/01,37.7790262,-122.4199061,161,17
298,Gusto,"San Francisco, California, United States",2,Financial Services,2011/11/01,37.7790262,-122.4199061,161,17
304,Marqeta,"Oakland, California, United States",2,Financial Services,2010/01/01,37.8044557,-122.2713563,9,3
308,Tink,"Stockholm, Stockholms Lan, Sweden",2,Financial Services,2012/06/12,59.3251172,18.0710935,7,2
309,Eurazeo,"Paris, Ile-de-France, France",2,Financial Services,1969/07/18,48.8566969,2.3514616,10,3
312,GoCardless,"London, England, United Kingdom",2,Financial Services,2011/01/01,51.5073219,-0.1276474,48,21
321,Railsbank,"London, England, United Kingdom",2,Financial Services,2016/01/01,51.5073219,-0.1276474,48,21
323,Khatabook,"Bangalore, Karnataka, India",2,Financial Services,2018/01/01,12.9791198,77.5912997,15,2
326,Veem,"San Francisco, California, United States",2,Financial Services,2014/02/01,37.7790262,-122.4199061,161,17
328,Indiegogo,"San Francisco, California, United States",2,Financial Services,2008/01/14,37.7790262,-122.4199061,161,17
330,Clair,"New York, New York, United States",2,Financial Services,2019/10/01,40.7127281,-74.0060152,112,22
333,Polkadot,"Manchester, Manchester, United Kingdom",2,Financial Services,2016/01/01,53.4794892,-2.2451148,2,1
340,Stripe,"San Francisco, California, United States",2,Financial Services,2010/01/01,37.7790262,-122.4199061,161,17
347,Betterment,"New York, New York, United States",2,Financial Services,2008/08/25,40.7127281,-74.0060152,112,22
373,Thunes,"Singapore, Central Region, Singapore",2,Financial Services,2016/01/01,16.7796467,96.175243,7,3
401,Facet Wealth,"Baltimore, Maryland, United States",2,Financial Services,2016/01/01,39.2908816,-76.610759,2,1
403,Broadridge,"New York, New York, United States",2,Financial Services,1962/01/01,40.7127281,-74.0060152,112,22
